tx	PID_262622_E3E
ENST00000456328	0.0
ENST00000450305	0.0
ENST00000488147	328.993
ENST00000619216	0.0
ENST00000473358	0.0
ENST00000469289	0.0
ENST00000607096	0.0
ENST00000417324	0.0
ENST00000461467	0.0
ENST00000606857	0.0
ENST00000642116	0.0
ENST00000492842	0.0
ENST00000641515	0.0
ENST00000466430	0.0
ENST00000495576	0.0
ENST00000477740	0.0
ENST00000471248	0.0
ENST00000453576	0.0
ENST00000442987	0.0
ENST00000494149	0.0
ENST00000595919	0.0
ENST00000493797	0.0
ENST00000484859	0.0
ENST00000490997	0.0
ENST00000466557	0.0
ENST00000410691	0.0
ENST00000496488	0.0
ENST00000662089	1.0
ENST00000491962	0.0
ENST00000655252	0.0
ENST00000624431	0.0
ENST00000623083	1854.849
ENST00000612080	0.0
ENST00000442116	18.035
ENST00000448958	0.0
ENST00000441866	0.0
ENST00000634344	0.0
ENST00000450734	0.0
ENST00000424587	3.148
ENST00000669836	0.0
ENST00000458203	29.035
ENST00000450983	0.0
ENST00000412666	0.0
ENST00000635159	0.0
ENST00000431321	0.0
ENST00000453935	0.0
ENST00000440163	0.0
ENST00000455207	0.0
ENST00000437905	0.0
ENST00000426406	0.0
ENST00000455464	0.0
ENST00000601814	0.0
ENST00000445840	0.0
ENST00000431812	0.0
ENST00000432723	0.0
ENST00000514436	3.08
ENST00000419160	0.0
ENST00000440038	0.0
ENST00000642074	0.0
ENST00000423728	0.0
ENST00000616311	0.0
ENST00000599771	113.848
ENST00000641845	0.0
ENST00000641916	0.0
ENST00000601486	0.0
ENST00000641579	0.0
ENST00000616947	0.0
ENST00000432964	0.0
ENST00000608420	0.0
ENST00000641303	0.0
ENST00000641063	0.0
ENST00000641049	0.0
ENST00000642124	0.0
ENST00000614007	0.0
ENST00000634833	0.0
ENST00000417636	0.0
ENST00000419394	6.302
ENST00000423796	0.0
ENST00000450696	0.0
ENST00000440196	0.0
ENST00000641296	0.0
ENST00000357876	0.0
ENST00000635509	0.0
ENST00000634337	0.0
ENST00000648019	0.0
ENST00000440200	0.0
ENST00000452176	0.0
ENST00000416931	1.265
ENST00000457540	2.509
ENST00000414273	1.083
ENST00000621981	0.0
ENST00000427426	0.0
ENST00000467115	0.0
ENST00000514057	62.48
ENST00000416718	0.0
ENST00000438434	0.0
ENST00000332831	0.0
ENST00000441245	0.0
ENST00000414688	0.0
ENST00000636676	0.0
ENST00000447954	0.0
ENST00000440782	0.0
ENST00000506640	180.223
ENST00000411249	0.0
ENST00000422528	0.0
ENST00000428504	0.0
ENST00000692781	0.0
ENST00000655765	30.0
ENST00000412115	0.0
ENST00000670700	0.0
ENST00000429505	0.0
ENST00000657896	0.0
ENST00000434264	0.0
ENST00000457084	0.0
ENST00000658648	0.0
ENST00000656571	0.0
ENST00000665867	0.0
ENST00000669749	0.0
ENST00000666217	0.0
ENST00000665719	0.0
ENST00000651411	0.0
ENST00000589899	0.0
ENST00000609830	0.0
ENST00000443772	0.0
ENST00000644482	0.0
ENST00000585826	0.0
ENST00000592547	0.0
ENST00000586928	0.0
ENST00000585745	0.0
ENST00000585768	0.0
ENST00000590848	0.0
ENST00000591440	0.0
ENST00000587530	0.0
ENST00000593022	0.0
ENST00000589531	0.0
ENST00000588951	0.0
ENST00000586288	0.0
ENST00000591702	0.0
ENST00000447500	115.027
ENST00000655384	0.0
ENST00000667728	0.0
ENST00000590817	169.711
ENST00000326734	0.0
ENST00000473798	2.0
ENST00000624927	0.0
ENST00000623808	0.0
ENST00000685334	0.0
ENST00000445118	2.189
ENST00000669922	0.0
ENST00000670780	0.0
ENST00000610067	0.0
ENST00000688309	0.0
ENST00000659124	0.0
ENST00000667414	0.0
ENST00000658846	0.0
ENST00000666741	0.0
ENST00000688008	1.0
ENST00000685764	0.0
ENST00000685879	0.0
ENST00000623070	0.0
ENST00000608189	0.0
ENST00000448975	0.0
ENST00000449005	0.0
ENST00000686238	0.0
ENST00000661237	0.0
ENST00000685566	0.0
ENST00000441765	0.0
ENST00000416570	0.0
ENST00000701598	0.0
ENST00000609139	0.0
ENST00000609009	0.0
ENST00000701768	0.0
ENST00000657837	0.0
ENST00000691316	3.811
ENST00000692194	0.0
ENST00000702273	0.0
ENST00000702098	0.0
ENST00000702557	0.0
ENST00000668541	0.0
ENST00000702847	0.0
ENST00000691234	0.0
ENST00000657175	0.0
ENST00000660797	0.0
ENST00000622921	0.0
ENST00000670824	0.0
ENST00000415295	0.0
ENST00000688420	0.0
ENST00000425657	0.0
ENST00000671208	0.0
ENST00000661463	0.0
ENST00000446136	0.0
ENST00000432963	0.0
ENST00000427857	0.0
ENST00000415481	0.0
ENST00000635557	0.0
ENST00000715285	0.0
ENST00000607769	0.0
ENST00000715286	0.0
ENST00000715287	0.0
ENST00000609207	0.0
ENST00000417705	0.0
ENST00000432961	0.0
ENST00000616016	0.0
ENST00000618323	0.0
ENST00000437963	0.0
ENST00000342066	0.0
ENST00000616125	0.0
ENST00000618779	0.0
ENST00000622503	0.0
ENST00000618181	0.0
ENST00000617307	0.0
ENST00000341065	0.0
ENST00000455979	0.0
ENST00000478729	0.0
ENST00000474461	0.0
ENST00000466827	0.0
ENST00000464948	0.0
ENST00000327044	869.461
ENST00000483767	0.0
ENST00000477976	67.215
ENST00000496938	0.0
ENST00000487214	48.324
ENST00000469563	0.0
ENST00000338591	23.0
ENST00000463212	0.0
ENST00000466300	0.0
ENST00000481067	0.0
ENST00000379410	0.0
ENST00000379407	1.0
ENST00000379409	0.0
ENST00000480267	0.0
ENST00000491024	0.0
ENST00000433179	0.0
ENST00000341290	115.444
ENST00000479361	0.0
ENST00000694917	130.556
ENST00000606034	0.0
ENST00000428771	0.0
ENST00000304952	67.0
ENST00000481869	0.0
ENST00000484667	0.0
ENST00000624697	0.0
ENST00000624652	0.0
ENST00000423619	0.0
ENST00000458555	0.0
ENST00000649529	283.0
ENST00000379370	18317.949
ENST00000620552	26.054
ENST00000651234	0.0
ENST00000652369	0.0
ENST00000469403	2.233
ENST00000479707	514.73
ENST00000466223	0.0
ENST00000478677	0.0
ENST00000492947	0.0
ENST00000461111	36.034
ENST00000418300	0.0
ENST00000688131	0.0
ENST00000456409	0.0
ENST00000702922	0.0
ENST00000692821	0.0
ENST00000394517	0.0
ENST00000427998	0.0
ENST00000685011	0.0
ENST00000692266	0.0
ENST00000442292	0.0
ENST00000412397	0.0
ENST00000433695	0.0
ENST00000451054	0.0
ENST00000453464	0.0
ENST00000379339	0.0
ENST00000465822	0.0
ENST00000421241	1.513
ENST00000379325	0.0
ENST00000487177	0.0
ENST00000467751	0.0
ENST00000477196	0.0
ENST00000464905	0.0
ENST00000379320	0.0
ENST00000379319	37.74
ENST00000434641	0.0
ENST00000482816	4.747
ENST00000462097	0.0
ENST00000473600	0.0
ENST00000475119	0.0
ENST00000442117	0.0
ENST00000427787	0.0
ENST00000472741	0.0
ENST00000480643	0.0
ENST00000648183	0.0
ENST00000416774	0.0
ENST00000384997	0.0
ENST00000384875	0.0
ENST00000362106	0.0
ENST00000606993	0.0
ENST00000379317	0.0
ENST00000379289	0.0
ENST00000379290	0.0
ENST00000506177	0.0
ENST00000673999	0.0
ENST00000379288	0.0
ENST00000460998	0.0
ENST00000514695	0.0
ENST00000486379	0.0
ENST00000328596	0.0
ENST00000379268	0.0
ENST00000486728	0.0
ENST00000379265	0.0
ENST00000699969	0.0
ENST00000699970	0.0
ENST00000497869	0.0
ENST00000379236	0.0
ENST00000699971	0.0
ENST00000699972	0.0
ENST00000699973	0.0
ENST00000699974	0.0
ENST00000699975	0.0
ENST00000699976	0.0
ENST00000699977	0.0
ENST00000699978	0.0
ENST00000699979	0.0
ENST00000453580	0.0
ENST00000360001	1307.83
ENST00000263741	47.542
ENST00000465727	0.0
ENST00000494748	0.0
ENST00000478938	0.0
ENST00000403997	0.0
ENST00000459994	264.629
ENST00000379198	30.0
ENST00000462849	0.0
ENST00000478606	0.0
ENST00000330388	0.0
ENST00000468365	0.0
ENST00000486627	0.0
ENST00000565563	0.0
ENST00000450390	0.0
ENST00000349431	3.267
ENST00000347370	0.0
ENST00000400929	0.0
ENST00000464036	0.0
ENST00000360466	180.593
ENST00000400930	8.116
ENST00000467339	0.0
ENST00000473215	0.0
ENST00000435198	20.431
ENST00000509720	0.0
ENST00000491779	0.0
ENST00000466752	0.0
ENST00000503294	0.0
ENST00000477894	1.283
ENST00000471154	0.0
ENST00000422076	0.0
ENST00000502382	29.311
ENST00000461142	0.0
ENST00000488418	0.0
ENST00000434139	0.0
ENST00000453732	0.0
ENST00000379116	0.0
ENST00000379101	0.0
ENST00000338555	0.0
ENST00000400928	0.0
ENST00000470022	0.0
ENST00000325425	1.0
ENST00000467651	0.0
ENST00000379099	0.0
ENST00000492936	0.0
ENST00000354700	179.761
ENST00000467278	0.0
ENST00000353662	57.946
ENST00000470659	0.0
ENST00000613751	0.0
ENST00000379037	0.0
ENST00000476572	1.293
ENST00000493992	0.0
ENST00000472541	0.0
ENST00000354980	0.0
ENST00000478065	0.0
ENST00000479108	0.0
ENST00000438966	0.0
ENST00000379031	23.0
ENST00000470520	0.0
ENST00000463758	0.0
ENST00000467712	0.0
ENST00000706601	0.0
